strategy,trades,wins,win_rate_%,total_pnl,time_sec
BANKNIFTY_ADV_1_ATM_Straddle_50pct_Quick_90min,162,94,58.0,-553.30,21.1
BANKNIFTY_ADV_2_OTM_Strangle_30pct_Quick_30min,405,212,52.3,-757.00,21.4
BANKNIFTY_ADV_3_ATM_Straddle_25pct_Ultra_Quick_15min,324,145,44.8,-615.00,21.1
BANKNIFTY_ADV_4_OTM_Strangle_40pct_Target_60min,243,146,60.1,-79.95,21.0
BANKNIFTY_ADV_5_Tight_OTM_0_5pct_20pct_Target_45min,324,196,60.5,-355.70,19.9
BANKNIFTY_ADV_6_Wide_OTM_2pct_35pct_Target_120min,162,98,60.5,-103.55,21.3
BANKNIFTY_ADV_7_High_Frequency_ATM_Multi_Entry,648,394,60.8,266.05,20.3
BANKNIFTY_ADV_8_Conservative_ATM_60pct_Target,162,99,61.1,-70.35,21.7
BANKNIFTY_ADV_9_Aggressive_OTM_15pct_Quick,486,296,60.9,207.90,20.2
BANKNIFTY_ADV_10_Afternoon_Quick_Strangle,324,215,66.4,566.70,21.7
NIFTY_ADV_1_ATM_Straddle_50pct_Quick_90min,64,39,60.9,-60.85,7.6
NIFTY_ADV_2_OTM_Strangle_30pct_Quick_30min,160,100,62.5,-15.80,7.7
NIFTY_ADV_3_ATM_Straddle_25pct_Ultra_Quick_15min,128,67,52.3,-133.55,7.5
NIFTY_ADV_4_OTM_Strangle_40pct_Target_60min,96,58,60.4,-32.45,6.7
NIFTY_ADV_5_Tight_OTM_0_5pct_20pct_Target_45min,128,87,68.0,11.65,7.3
NIFTY_ADV_6_Wide_OTM_2pct_35pct_Target_120min,64,41,64.1,-18.80,7.1
NIFTY_ADV_7_High_Frequency_ATM_Multi_Entry,256,158,61.7,20.85,7.8
NIFTY_ADV_8_Conservative_ATM_60pct_Target,64,38,59.4,21.90,8.3
NIFTY_ADV_9_Aggressive_OTM_15pct_Quick,192,101,52.6,-31.20,6.3
NIFTY_ADV_10_Afternoon_Quick_Strangle,128,84,65.6,-8.30,7.2
