entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,total_premium_received,total_premium_paid,pnl,hold_duration_minutes,exit_reason
2025-08-01,09:30:00,2025-08-01,15:24:59,56400.0,55300.0,507.6,419.45,429.5,491.45,927.05,920.95,6.099999999999909,354,time_limit
2025-08-04,09:30:00,2025-08-04,15:24:59,56300.0,55200.0,490.0,391.0,461.55,397.2,881.0,858.75,22.25,354,time_limit
2025-08-05,09:30:00,2025-08-05,15:24:59,56100.0,55000.0,499.0,356.25,380.0,429.7,855.25,809.7,45.549999999999955,354,time_limit
2025-08-06,09:30:00,2025-08-06,15:24:59,56000.0,54900.0,470.05,353.65,430.05,348.7,823.7,778.75,44.950000000000045,354,time_limit
2025-08-07,09:30:00,2025-08-07,15:24:59,55900.0,54800.0,417.95,339.1,532.6,227.05,757.05,759.6500000000001,-2.6000000000001364,354,time_limit
2025-08-08,09:30:00,2025-08-08,15:24:59,55900.0,54800.0,429.9,291.75,270.55,450.45,721.65,721.0,0.6499999999999773,354,time_limit
2025-08-11,09:30:00,2025-08-11,15:24:59,55800.0,54600.0,366.0,296.3,409.75,227.6,662.3,637.35,24.949999999999932,354,time_limit
2025-08-12,09:30:00,2025-08-12,15:24:59,56000.0,54900.0,339.8,285.0,248.45,363.9,624.8,612.3499999999999,12.450000000000045,354,time_limit
2025-08-13,09:30:00,2025-08-13,15:24:59,55700.0,54600.0,381.75,238.4,380.0,210.25,620.15,590.25,29.899999999999977,354,time_limit
2025-08-14,09:30:00,2025-08-14,15:24:59,55800.0,54700.0,346.15,226.55,343.05,210.4,572.7,553.45,19.25,354,time_limit
2025-08-18,09:30:00,2025-08-18,15:24:59,56700.0,55500.0,224.55,197.65,131.9,274.25,422.20000000000005,406.15,16.050000000000068,354,time_limit
2025-08-19,09:30:00,2025-08-19,15:24:59,56300.0,55200.0,218.2,180.65,223.6,124.2,398.85,347.8,51.05000000000001,354,time_limit
2025-08-20,09:30:00,2025-08-20,15:24:59,56200.0,55100.0,179.75,138.65,188.5,114.4,318.4,302.9,15.5,354,time_limit
2025-08-21,09:30:00,2025-08-21,15:24:59,56300.0,55200.0,163.15,107.8,134.15,85.65,270.95,219.8,51.14999999999998,354,time_limit
2025-08-22,09:30:00,2025-08-22,15:24:59,56100.0,54900.0,115.35,71.3,53.3,147.7,186.64999999999998,201.0,-14.350000000000023,354,time_limit
2025-08-25,09:30:00,2025-08-25,15:24:59,55800.0,54700.0,99.45,42.65,51.5,50.15,142.1,101.65,40.44999999999999,354,time_limit
2025-08-26,09:30:00,2025-08-26,15:24:59,55200.0,54100.0,56.4,47.5,28.1,53.05,103.9,81.15,22.75,354,time_limit
2025-08-28,09:30:00,2025-08-28,15:24:59,54500.0,53400.0,24.3,14.6,0.05,0.1,38.9,0.15000000000000002,38.75,354,time_limit
2025-08-29,09:30:00,2025-08-29,15:24:59,54500.0,53400.0,654.25,393.2,522.7,445.45,1047.45,968.1500000000001,79.29999999999995,354,time_limit
2025-09-01,09:30:00,2025-09-01,15:24:59,54500.0,53400.0,598.65,348.15,608.9,321.1,946.8,930.0,16.799999999999955,354,time_limit
2025-09-02,09:30:00,2025-09-02,15:24:59,54500.0,53400.0,567.4,335.5,454.6,420.4,902.9,875.0,27.899999999999977,354,time_limit
2025-09-03,09:30:00,2025-09-03,15:24:58,54300.0,53200.0,569.55,331.95,681.6,248.5,901.5,930.1,-28.600000000000023,354,time_limit
2025-09-04,09:30:00,2025-09-04,15:24:58,54900.0,53800.0,472.15,334.05,360.0,402.05,806.2,762.05,44.15000000000009,354,time_limit
2025-09-05,09:30:00,2025-09-05,15:24:59,54700.0,53600.0,445.35,303.1,428.65,300.05,748.45,728.7,19.75,354,time_limit
2025-09-08,09:30:00,2025-09-08,15:24:59,54700.0,53600.0,432.95,275.1,470.0,231.15,708.05,701.15,6.899999999999977,354,time_limit
2025-09-09,09:30:00,2025-09-09,15:24:59,54800.0,53700.0,409.1,268.9,389.25,270.25,678.0,659.5,18.5,354,time_limit
2025-09-10,09:30:00,2025-09-10,15:24:59,55000.0,53900.0,383.25,251.4,427.95,222.5,634.65,650.45,-15.800000000000068,354,time_limit
2025-09-11,09:30:00,2025-09-11,15:24:58,55100.0,54100.0,392.0,264.15,392.1,234.3,656.15,626.4000000000001,29.749999999999886,354,time_limit
2025-09-12,09:30:00,2025-09-12,15:24:59,55200.0,54100.0,350.1,219.4,372.7,179.45,569.5,552.15,17.350000000000023,354,time_limit
2025-09-15,09:30:00,2025-09-15,15:24:59,55500.0,54400.0,281.75,205.25,265.6,199.65,487.0,465.25,21.75,354,time_limit
2025-09-16,09:30:00,2025-09-16,15:24:59,55500.0,54400.0,258.95,197.4,344.4,141.6,456.35,486.0,-29.649999999999977,354,time_limit
2025-09-17,09:30:00,2025-09-17,15:24:59,55800.0,54700.0,246.7,165.55,347.1,128.25,412.25,475.35,-63.10000000000002,354,time_limit
2025-09-18,09:30:00,2025-09-18,15:24:59,56300.0,55200.0,201.4,155.05,182.75,143.2,356.45000000000005,325.95,30.500000000000057,354,time_limit
2025-09-19,09:30:00,2025-09-19,15:24:59,56200.0,55000.0,180.5,125.85,131.4,134.45,306.35,265.85,40.5,354,time_limit
2025-09-22,09:30:00,2025-09-22,15:24:58,56100.0,54700.0,173.3,77.8,109.1,106.0,251.10000000000002,215.1,36.00000000000003,354,time_limit
2025-09-23,09:30:00,2025-09-23,15:24:59,55600.0,54600.0,228.55,97.2,371.15,53.85,325.75,425.0,-99.25,354,time_limit
2025-09-24,09:30:00,2025-09-24,15:24:58,55900.0,54700.0,116.7,79.9,75.5,90.45,196.60000000000002,165.95,30.650000000000034,354,time_limit
2025-09-25,09:30:00,2025-09-25,15:24:59,55800.0,54700.0,90.6,74.85,55.4,100.35,165.45,155.75,9.699999999999989,354,time_limit
2025-09-26,09:30:00,2025-09-26,15:24:59,55200.0,54100.0,90.1,49.95,46.35,99.55,140.05,145.9,-5.849999999999994,354,time_limit
2025-09-29,09:30:00,2025-09-29,15:24:59,55000.0,54000.0,60.75,46.25,34.15,22.55,107.0,56.7,50.3,354,time_limit
2025-09-30,09:30:00,2025-09-30,15:24:59,55200.0,54100.0,21.45,21.45,0.15,0.1,42.9,0.25,42.65,354,time_limit
2025-10-01,09:30:00,2025-10-01,15:24:59,55300.0,54200.0,561.5,355.1,856.0,197.0,916.6,1053.0,-136.39999999999998,354,time_limit
2025-10-03,09:30:00,2025-10-03,15:24:59,55900.0,54800.0,525.15,325.0,571.25,249.7,850.15,820.95,29.199999999999932,354,time_limit
2025-10-06,09:30:00,2025-10-06,15:24:59,56300.0,55200.0,450.0,302.2,553.6,218.65,752.2,772.25,-20.049999999999955,354,time_limit
2025-10-07,09:30:00,2025-10-07,15:24:59,56800.0,55600.0,355.35,291.25,371.95,255.7,646.6,627.65,18.950000000000045,354,time_limit
2025-10-08,09:30:00,2025-10-08,15:24:59,56800.0,55700.0,384.55,272.1,279.95,343.35,656.6500000000001,623.3,33.350000000000136,354,time_limit
2025-10-09,09:30:00,2025-10-09,15:24:59,56600.0,55500.0,393.0,259.35,426.0,221.5,652.35,647.5,4.850000000000023,354,time_limit
2025-10-10,09:30:00,2025-10-10,15:24:59,57000.0,55900.0,342.15,257.6,428.4,191.6,599.75,620.0,-20.25,354,time_limit
2025-10-13,09:30:00,2025-10-13,15:24:59,57000.0,55900.0,344.95,265.4,426.0,208.0,610.3499999999999,634.0,-23.65000000000009,354,time_limit
2025-10-14,09:30:00,2025-10-14,15:24:59,57200.0,56100.0,352.5,234.55,273.05,283.8,587.05,556.85,30.199999999999932,354,time_limit
2025-10-15,09:30:00,2025-10-15,15:24:59,57200.0,56100.0,316.8,216.55,344.85,178.2,533.35,523.05,10.300000000000068,354,time_limit
2025-10-16,09:30:00,2025-10-16,15:24:58,57700.0,56600.0,231.45,214.7,342.95,173.85,446.15,516.8,-70.64999999999998,354,time_limit
2025-10-17,09:30:00,2025-10-17,15:24:59,58000.0,56900.0,249.35,240.95,348.3,188.55,490.29999999999995,536.85,-46.55000000000007,354,time_limit
2025-10-20,09:30:00,2025-10-20,15:24:59,58700.0,57500.0,154.7,177.0,137.0,140.9,331.7,277.9,53.80000000000001,354,time_limit
2025-10-23,09:30:00,2025-10-23,15:24:59,58900.0,57800.0,118.2,137.05,44.1,179.75,255.25,223.85,31.400000000000006,354,time_limit
2025-10-24,09:30:00,2025-10-24,15:24:59,58700.0,57500.0,74.0,78.75,36.7,151.0,152.75,187.7,-34.94999999999999,354,time_limit
2025-10-27,09:30:00,2025-10-27,15:24:59,58600.0,57400.0,51.9,40.8,51.15,21.9,92.69999999999999,73.05,19.64999999999999,354,time_limit
2025-10-28,09:30:00,2025-10-28,15:24:57,58800.0,57600.0,18.65,22.35,0.1,0.2,41.0,0.30000000000000004,40.7,354,time_limit
2025-10-29,09:30:00,2025-10-29,15:24:59,58900.0,57700.0,628.0,407.0,660.65,348.3,1035.0,1008.95,26.049999999999955,354,time_limit
2025-10-30,09:30:00,2025-10-30,15:24:59,58800.0,57700.0,627.25,387.9,539.85,423.0,1015.15,962.85,52.299999999999955,354,time_limit
2025-10-31,09:30:00,2025-10-31,15:24:59,58800.0,57600.0,572.5,375.1,436.6,447.3,947.6,883.9000000000001,63.69999999999993,354,time_limit
2025-11-03,09:30:00,2025-11-03,15:24:59,58400.0,57200.0,580.55,356.05,703.25,272.75,936.5999999999999,976.0,-39.40000000000009,354,time_limit
2025-11-04,09:30:00,2025-11-04,15:24:59,58500.0,57400.0,550.5,375.75,491.15,379.3,926.25,870.45,55.799999999999955,354,time_limit
2025-11-06,09:30:00,2025-11-06,15:24:59,58300.0,57100.0,535.95,318.95,429.45,314.95,854.9000000000001,744.4,110.50000000000011,354,time_limit
2025-11-07,09:30:00,2025-11-07,15:24:59,57800.0,56700.0,500.2,310.5,818.3,157.1,810.7,975.4,-164.69999999999993,354,time_limit
2025-11-10,09:30:00,2025-11-10,15:24:59,58500.0,57400.0,453.2,272.65,432.0,262.0,725.8499999999999,694.0,31.84999999999991,354,time_limit
2025-11-11,09:30:00,2025-11-11,15:24:59,58400.0,57300.0,437.75,292.55,535.05,203.6,730.3,738.65,-8.350000000000023,354,time_limit
2025-11-12,09:30:00,2025-11-12,15:24:59,58900.0,57700.0,366.45,228.4,326.45,228.1,594.85,554.55,40.30000000000007,354,time_limit
2025-11-13,09:30:00,2025-11-13,15:24:59,58900.0,57700.0,322.6,230.45,343.05,224.1,553.05,567.15,-14.100000000000023,354,time_limit
2025-11-14,09:30:00,2025-11-14,15:24:59,59000.0,57800.0,317.8,227.4,318.6,183.35,545.2,501.95000000000005,43.25,354,time_limit
2025-11-17,09:30:00,2025-11-17,15:24:59,59400.0,58300.0,251.25,210.75,253.4,174.2,462.0,427.6,34.39999999999998,354,time_limit
2025-11-18,09:30:00,2025-11-18,15:24:59,59600.0,58400.0,186.6,202.6,154.5,184.35,389.2,338.85,50.349999999999966,354,time_limit
2025-11-19,09:30:00,2025-11-19,15:24:58,59400.0,58200.0,781.25,468.2,956.45,369.25,1249.45,1325.7,-76.25,354,time_limit
2025-11-20,09:30:00,2025-11-20,15:24:57,59800.0,58600.0,742.0,448.5,805.5,403.25,1190.5,1208.75,-18.25,354,time_limit
2025-11-21,09:30:00,2025-11-21,15:24:59,59700.0,58600.0,776.65,440.0,616.4,587.05,1216.65,1203.4499999999998,13.200000000000273,354,time_limit
2025-11-24,09:30:00,2025-11-24,15:24:58,59600.0,58400.0,718.25,446.25,604.0,521.5,1164.5,1125.5,39.0,354,time_limit
2025-11-25,09:30:00,2025-11-25,15:24:59,59400.0,58200.0,722.05,437.0,656.85,415.6,1159.05,1072.45,86.59999999999991,354,time_limit
2025-11-26,09:30:00,2025-11-26,15:24:59,59700.0,58500.0,638.0,408.55,846.3,325.8,1046.55,1172.1,-125.54999999999995,354,time_limit
2025-11-27,09:30:00,2025-11-27,15:24:59,60300.0,59200.0,636.4,462.4,628.0,435.65,1098.8,1063.65,35.149999999999864,354,time_limit
2025-11-28,09:30:00,2025-11-28,15:24:59,60300.0,59100.0,616.9,413.8,615.0,371.05,1030.7,986.05,44.65000000000009,354,time_limit
2025-12-01,09:30:00,2025-12-01,15:24:59,60600.0,59400.0,523.05,413.7,415.0,506.0,936.75,921.0,15.75,354,time_limit
