entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,ce_exit_time,pe_exit_time,ce_exit_reason,pe_exit_reason,rehedge_count,ce_pnl,pe_pnl,total_pnl,total_pnl_pct,hold_duration_minutes
2025-08-19,09:20:00,2025-08-19,09:21:37,24900.0,24900.0,193.90,143.50,193.90,143.50,09:20:13,09:21:37,early_profit,early_profit,0,0.00,0.00,-5.00,-1.48,1
2025-08-20,09:20:00,2025-08-20,09:23:02,24950.0,24950.0,161.10,135.40,158.75,135.40,09:20:21,09:23:02,profit_take,early_profit,0,2.35,0.00,-2.65,-0.89,3
2025-08-21,09:20:00,2025-08-21,09:25:33,25100.0,25100.0,140.85,126.40,140.40,126.40,09:20:14,09:25:33,profit_take,early_profit,0,0.45,0.00,-4.55,-1.70,5
2025-08-22,09:20:00,2025-08-22,09:25:33,25000.0,25000.0,133.00,96.55,129.70,96.55,09:20:17,09:25:33,profit_take,early_profit,0,3.30,0.00,-1.70,-0.74,5
2025-08-25,09:20:00,2025-08-25,09:25:33,24900.0,24900.0,116.15,85.70,115.85,85.70,09:20:04,09:25:33,profit_take,early_profit,0,0.30,0.00,-4.70,-2.33,5
2025-08-26,09:20:00,2025-08-26,09:25:33,24850.0,24850.0,80.40,66.25,74.85,66.25,09:20:21,09:25:33,profit_take,early_profit,0,5.55,0.00,0.55,0.38,5
2025-08-28,09:20:00,2025-08-28,09:25:02,24600.0,24600.0,41.05,62.15,28.40,60.45,09:25:02,09:20:54,early_profit,profit_take,0,12.65,1.70,9.35,9.06,5
2025-09-18,09:20:00,2025-09-18,09:21:19,25400.0,25400.0,205.85,114.45,205.60,114.45,09:20:11,09:21:19,profit_take,early_profit,0,0.25,0.00,-4.75,-1.48,1
2025-09-19,09:20:00,2025-09-19,09:23:33,25400.0,25400.0,156.65,129.55,156.10,129.55,09:20:16,09:23:33,profit_take,early_profit,0,0.55,0.00,-4.45,-1.55,3
2025-09-22,09:20:00,2025-09-22,09:20:01,25250.0,25250.0,181.95,101.55,181.95,101.55,09:20:01,09:20:01,early_profit,early_profit,0,0.00,0.00,-5.00,-1.76,0
2025-09-23,09:20:00,2025-09-23,09:20:01,25200.0,25200.0,176.60,95.50,176.60,95.50,09:20:01,09:20:01,early_profit,early_profit,0,0.00,0.00,-5.00,-1.84,0
2025-09-24,09:20:00,2025-09-24,09:25:32,25100.0,25100.0,136.60,99.25,136.60,98.85,09:25:32,09:20:38,early_profit,profit_take,0,0.00,0.40,-4.60,-1.95,5
2025-09-25,09:20:00,2025-09-25,09:25:35,25050.0,25050.0,121.95,80.40,119.05,80.40,09:20:03,09:25:35,profit_take,early_profit,0,2.90,0.00,-2.10,-1.04,5
2025-09-26,09:20:00,2025-09-26,09:25:33,24800.0,24800.0,131.30,60.95,129.55,60.95,09:20:07,09:25:33,profit_take,early_profit,0,1.75,0.00,-3.25,-1.69,5
2025-09-29,09:20:00,2025-09-29,09:25:32,24700.0,24700.0,94.00,62.75,94.00,59.10,09:25:32,09:20:02,early_profit,profit_take,0,0.00,3.65,-1.35,-0.86,5
2025-09-30,09:20:00,2025-09-30,09:59:58,24700.0,24700.0,35.65,39.05,35.65,39.05,09:59:58,09:40:33,early_profit,early_profit,6,0.00,0.00,-5.00,-6.69,39
2025-10-16,09:20:00,2025-10-16,09:20:18,25400.0,25400.0,229.75,122.55,229.75,122.55,09:20:15,09:20:18,early_profit,early_profit,0,0.00,0.00,-5.00,-1.42,0
2025-10-17,09:20:00,2025-10-17,09:20:34,25550.0,25550.0,201.95,142.80,201.95,142.80,09:20:22,09:20:34,early_profit,early_profit,0,0.00,0.00,-5.00,-1.45,0
2025-10-20,09:20:00,2025-10-20,09:21:01,25900.0,25900.0,178.95,123.20,178.95,121.75,09:21:01,09:20:11,early_profit,profit_take,0,0.00,1.45,-3.55,-1.17,1
2025-10-23,09:20:00,2025-10-23,09:20:36,26000.0,26000.0,176.00,88.45,175.85,88.45,09:20:01,09:20:36,profit_take,early_profit,0,0.15,0.00,-4.85,-1.83,0
2025-10-24,09:20:00,2025-10-24,09:22:38,25850.0,25850.0,139.80,78.05,139.80,77.80,09:22:38,09:20:37,early_profit,profit_take,0,0.00,0.25,-4.75,-2.18,2
2025-10-27,09:20:00,2025-10-27,09:21:01,25850.0,25850.0,121.90,50.25,121.90,50.25,09:20:04,09:21:01,early_profit,early_profit,0,0.00,0.00,-5.00,-2.90,1
2025-10-28,09:20:00,2025-10-28,09:21:32,25950.0,25950.0,87.30,54.00,87.30,54.00,09:20:18,09:21:32,early_profit,early_profit,0,0.00,0.00,-5.00,-3.54,1
2025-11-13,09:20:00,2025-11-13,09:20:11,25850.0,25850.0,242.20,165.20,242.20,165.20,09:20:11,09:20:11,early_profit,early_profit,0,0.00,0.00,-5.00,-1.23,0
2025-11-14,09:20:00,2025-11-14,09:21:34,25800.0,25800.0,259.20,162.60,256.60,162.60,09:20:06,09:21:34,profit_take,early_profit,0,2.60,0.00,-2.40,-0.57,1
2025-11-17,09:20:00,2025-11-17,09:22:44,25950.0,25950.0,219.85,151.10,219.85,148.75,09:22:44,09:20:31,early_profit,profit_take,0,0.00,2.35,-2.65,-0.71,2
2025-11-18,09:20:00,2025-11-18,09:20:37,25950.0,25950.0,184.00,151.15,182.00,151.15,09:20:21,09:20:37,profit_take,early_profit,0,2.00,0.00,-3.00,-0.90,0
2025-11-19,09:20:00,2025-11-19,09:20:56,25850.0,25850.0,174.90,128.30,172.85,128.30,09:20:12,09:20:56,profit_take,early_profit,0,2.05,0.00,-2.95,-0.97,0
2025-11-20,09:20:00,2025-11-20,09:25:32,26100.0,26100.0,139.05,119.90,135.95,119.90,09:20:24,09:25:32,profit_take,early_profit,0,3.10,0.00,-1.90,-0.73,5
2025-11-21,09:20:00,2025-11-21,09:21:53,26150.0,26150.0,116.65,112.50,115.45,112.50,09:20:02,09:21:53,profit_take,early_profit,0,1.20,0.00,-3.80,-1.66,1
2025-11-24,09:20:00,2025-11-24,09:25:33,26100.0,26100.0,98.80,72.00,98.00,72.00,09:20:09,09:25:33,profit_take,early_profit,0,0.80,0.00,-4.20,-2.46,5
2025-11-25,09:20:00,2025-11-25,09:25:32,25950.0,25950.0,61.25,47.45,61.25,45.65,09:25:32,09:20:27,early_profit,profit_take,0,0.00,1.80,-3.20,-2.94,5
